scenario,run_id,run_folder,mean_epoch_training_time_seconds,total_training_time_seconds,mean_training_throughput_samples_sec,mean_data_loading_latency_sec_batch,mean_compute_time_sec_batch,total_validation_time_seconds,mean_validation_time_seconds,mean_validation_throughput_samples_sec,final_val_accuracy,final_val_loss,best_val_accuracy,total_cloud_read_time_seconds,total_s3_mb_downloaded_during_epochs,mean_cloud_read_time_sec_batch,cache_warmup_time_seconds,cache_warmup_s3_bytes_downloaded,cache_warmup_s3_megabytes_downloaded,cache_warmup_files_downloaded,cache_warmup_files_already_cached,train_cache_hit_ratio,val_cache_hit_ratio,cache_hits,cache_misses,mean_cache_read_time_sec_batch,validation_mean_cache_read_time_sec_batch,total_s3_mb_downloaded_including_warmup,end_to_end_time_seconds,invalid_gpu_utilization_rows,mean_gpu_utilization_full_log_percent,median_gpu_utilization_full_log_percent,gpu_idle_ratio_full_log_percent,gpu_full_log_sample_count,gpu_full_log_duration_seconds,mean_gpu_utilization_percent,median_gpu_utilization_percent,gpu_idle_ratio_percent,gpu_comparison_window_method,gpu_phase_detection_status,gpu_activity_threshold_percent,gpu_training_phase_start,gpu_training_phase_end,mean_gpu_utilization_training_phase_percent,median_gpu_utilization_training_phase_percent,gpu_idle_ratio_training_phase_percent,gpu_training_phase_sample_count,gpu_training_phase_duration_seconds,mean_gpu_memory_used_mib,max_gpu_memory_used_mib,invalid_gpu_memory_rows,mean_docker_cpu_percent,max_docker_cpu_percent,invalid_docker_cpu_rows,mean_docker_memory_percent,max_docker_memory_percent,invalid_docker_memory_rows,mean_host_cpu_used_percent,max_host_cpu_used_percent,invalid_host_cpu_rows,mean_host_memory_used_mb,max_host_memory_used_mb,invalid_host_memory_rows,estimated_cache_warmup_end,mean_gpu_utilization_post_warmup_percent,median_gpu_utilization_post_warmup_percent,gpu_idle_ratio_post_warmup_percent,gpu_post_warmup_sample_count,gpu_post_warmup_duration_seconds
A,11,run_11_A,66.79289791244082,133.58579582488164,1497.1657163752398,0.02749381305487905,0.057812402585206896,4.243894459679723,2.1219472298398614,4713.244688854933,0.6423,2.154786136627197,0.6423,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,137.82969028456137,0,58.529411764705884,60.0,10.457516339869281,153,152.49,58.529411764705884,60.0,10.457516339869281,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:15:07.927000,2026-06-02T00:17:31.411000,62.1875,63.5,4.861111111111112,144,143.484,4715.18954248366,4938.0,0,442.64599999999996,541.57,0,4.544666666666666,5.36,0,14.748091603053435,18.0,0,4011.5114503816794,5132.0,0,,,,,,
A,12,run_12_A,67.31904342351481,134.63808684702963,1485.465332257873,0.028198413665482598,0.057776186665844,4.316831980831921,2.1584159904159606,4633.076327834942,0.6594,2.09635133895874,0.6594,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,138.95491882786155,0,60.60645161290323,61.0,11.612903225806452,155,154.298,60.60645161290323,61.0,11.612903225806452,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:17:48.464000,2026-06-02T00:20:06.745000,67.56115107913669,66.0,1.4388489208633095,139,138.281,4718.064516129032,4938.0,0,438.5178688524591,510.67,0,4.523278688524591,5.46,0,14.818181818181818,21.0,0,3956.8333333333335,5066.0,0,,,,,,
A,13,run_13_A,67.063191967085,134.12638393417,1491.1367932086137,0.02788475445618185,0.057767669236778105,4.194602734874934,2.097301367437467,4768.040109147096,0.6614,2.102390480804444,0.6614,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,138.32098666904494,0,63.516129032258064,68.0,10.967741935483872,155,154.526,63.516129032258064,68.0,10.967741935483872,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:20:16.779000,2026-06-02T00:22:41.299000,67.89655172413794,70.0,4.827586206896552,145,144.52,4686.2193548387095,4938.0,0,437.97180327868847,540.04,0,4.550819672131147,5.34,0,14.159090909090908,18.0,0,4040.4848484848485,5128.0,0,,,,,,
A,14,run_14_A,67.04711348819546,134.09422697639093,1491.5211717368056,0.027843690087871048,0.05778825335392765,4.35772095201537,2.178860476007685,4591.592244269876,0.6588,2.090242776870728,0.6588,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,138.4519479284063,0,57.142857142857146,58.0,12.337662337662337,154,153.504,57.142857142857146,58.0,12.337662337662337,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:22:59.379000,2026-06-02T00:25:16.833000,63.76086956521739,60.0,2.1739130434782608,138,137.454,4716.636363636364,4938.0,0,441.36950819672137,536.31,0,4.521475409836065,5.33,0,14.545454545454545,18.0,0,3888.4166666666665,4708.0,0,,,,,,
A,15,run_15_A,67.0230021639727,134.0460043279454,1492.0255439327498,0.02777594302708275,0.057822326140161404,4.36253822920844,2.18126911460422,4586.620610634327,0.6534,2.1214988002777098,0.6534,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,138.40854255715385,0,59.84415584415584,62.0,12.337662337662337,154,153.235,59.84415584415584,62.0,12.337662337662337,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:25:33.884000,2026-06-02T00:27:51.106000,66.64492753623189,62.5,2.1739130434782608,138,137.222,4716.636363636364,4938.0,0,440.3645901639344,494.28,0,4.441639344262294,5.28,0,14.572519083969466,26.0,0,3973.389312977099,5034.0,0,,,,,,
A,16,run_16_A,66.70290290866978,133.40580581733957,1499.1956196744186,0.02737982631327525,0.0578147809460635,4.274857524316758,2.137428762158379,4678.708879121377,0.6557,2.098623053741455,0.6557,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,137.68066334165633,0,60.94805194805195,62.0,11.688311688311687,154,153.342,60.94805194805195,62.0,11.688311688311687,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:28:09.149000,2026-06-02T00:30:25.477000,68.44525547445255,65.0,0.7299270072992701,137,136.328,4716.636363636364,4938.0,0,443.7303333333333,543.31,0,4.541499999999999,5.4,0,14.786259541984732,28.0,0,4069.908396946565,4879.0,0,,,,,,
A,17,run_17_A,66.9786109381821,133.9572218763642,1493.0145718779877,0.02770178842529785,0.0578292711590871,4.276893058326095,2.1384465291630477,4676.390903044298,0.6574,2.100141742324829,0.6574,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,138.2341149346903,0,59.896103896103895,58.0,11.03896103896104,154,153.521,59.896103896103895,58.0,11.03896103896104,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:30:42.523000,2026-06-02T00:33:00.029000,66.84057971014492,64.5,0.7246376811594203,138,137.506,4716.636363636364,4938.0,0,437.95704918032783,531.6,0,4.501475409836065,5.38,0,14.312977099236642,18.0,0,3885.2290076335876,4782.0,0,,,,,,
A,18,run_18_A,66.89372860989533,133.78745721979067,1494.9198814053611,0.0276229790214787,0.057811069358830944,4.1891453438438475,2.0945726719219238,4776.258430548428,0.6566,2.097912679290772,0.6566,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,137.97660256363451,0,62.052287581699346,63.0,11.11111111111111,153,152.674,62.052287581699346,63.0,11.11111111111111,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:33:17.073000,2026-06-02T00:35:33.734000,69.2919708029197,68.0,0.7299270072992701,137,136.661,4715.18954248366,4938.0,0,443.215,531.97,0,4.543666666666667,5.41,0,14.572519083969466,18.0,0,3940.5343511450383,4792.0,0,,,,,,
A,19,run_19_A,67.21681572403759,134.43363144807518,1487.732022854032,0.028046217859279597,0.057802383697120055,4.354949940461665,2.1774749702308327,4592.478829105908,0.6592,2.102870381164551,0.6592,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,138.78858138853684,0,61.41935483870968,65.0,11.612903225806452,155,154.375,61.41935483870968,65.0,11.612903225806452,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:35:50.776000,2026-06-02T00:38:08.137000,68.98550724637681,70.0,0.7246376811594203,138,137.361,4718.064516129032,4938.0,0,438.22245901639343,540.39,0,4.56672131147541,5.34,0,14.575757575757576,18.0,0,3808.780303030303,4543.0,0,,,,,,
A,20,run_20_A,67.23172079119831,134.46344158239663,1487.4271344327472,0.02808463100678595,0.0577837719967293,4.191269000060856,2.095634500030428,4782.404241294495,0.6497,2.12730186958313,0.6497,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,138.65471058245748,0,60.116129032258065,60.0,11.612903225806452,155,154.314,60.116129032258065,60.0,11.612903225806452,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:38:26.187000,2026-06-02T00:40:44.488000,67.01438848920863,65.0,1.4388489208633095,139,138.301,4718.032258064516,4938.0,0,438.02639344262303,540.98,0,4.498032786885245,5.29,0,14.628787878787879,18.0,0,3782.7651515151515,4469.0,0,,,,,,
